 Global Constants,,"Note: from late 2022 to mid-2025, approximately 18% to 29% of the total or circulating supply of Curve DAO Token (CRV) is locked in staking (veCRV). ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
Total Supply (RSC),"1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000"
Circulating Supply (RSC),"134,157,343","143,657,343","153,055,009","162,351,444","171,547,737","180,644,968","189,644,204","198,546,501","207,352,901","216,064,440","224,682,138","233,207,006","241,640,044","249,982,242","258,234,578","266,398,019","274,473,524","282,462,040","290,364,504","298,181,843","305,914,973","313,564,802","321,132,227","328,618,136","336,023,407","343,348,909","350,595,500","357,764,031","364,855,342","371,870,267","378,809,626","385,674,235","392,464,898","399,182,413","405,827,566","412,401,138","418,903,900","425,336,614","431,700,034","437,994,908","444,221,974","450,381,962","456,475,595","462,503,587","468,466,645","474,365,470","480,200,752","485,973,177","491,683,422","497,332,156","502,920,041"
Price (USD),$0.0933,$0.0933,$0.0933,$0.0933,$0.0933,$0.0933,$0.0933,$0.0933,$0.0933,$0.0933,$0.0933,$0.0933,$0.0933,$0.0933,$0.0933,$0.0933,$0.0933,$0.0933,$0.0933,$0.0933,$0.0933,$0.0933,$0.0933,$0.0933,$0.0933,$0.0933,$0.0933,$0.0933,$0.0933,$0.0933,$0.0933,$0.0933,$0.0933,$0.0933,$0.0933,$0.0933,$0.0933,$0.0933,$0.0933,$0.0933,$0.0933,$0.0933,$0.0933,$0.0933,$0.0933,$0.0933,$0.0933,$0.0933,$0.0933,$0.0933,$0.0933
Emission/yr,"9,500,000","9,397,666","9,296,435","9,196,294","9,097,231","8,999,236","8,902,296","8,806,401","8,711,538","8,617,698","8,524,868","8,433,038","8,342,198","8,252,336","8,163,442","8,075,505","7,988,516","7,902,464","7,817,339","7,733,130","7,649,829","7,567,425","7,485,909","7,405,271","7,325,501","7,246,591","7,168,531","7,091,312","7,014,924","6,939,360","6,864,609","6,790,663","6,717,514","6,645,153","6,573,572","6,502,762","6,432,714","6,363,421","6,294,874","6,227,066","6,159,988","6,093,633","6,027,992","5,963,059","5,898,825","5,835,283","5,772,425","5,710,244","5,648,734","5,587,886","5,527,693"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Graph 1: Year 1 APY as a function of how much emissions go towards rewards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Funder Variables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Individual Stake (RSC),"10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000"
Multiplier,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Effective Stake (RSC),"10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000"
% Circ Supply you stake,7.45%,6.96%,6.53%,6.16%,5.83%,5.54%,5.27%,5.04%,4.82%,4.63%,4.45%,4.29%,4.14%,4.00%,3.87%,3.75%,3.64%,3.54%,3.44%,3.35%,3.27%,3.19%,3.11%,3.04%,2.98%,2.91%,2.85%,2.80%,2.74%,2.69%,2.64%,2.59%,2.55%,2.51%,2.46%,2.42%,2.39%,2.35%,2.32%,2.28%,2.25%,2.22%,2.19%,2.16%,2.13%,2.11%,2.08%,2.06%,2.03%,2.01%,1.99%
 Global Variables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average Multiplier on other stakes,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,"Note: from late 2022 to mid-2025, approximately 18% to 29% of the total or circulating supply of Curve DAO Token (CRV) is locked in staking (veCRV). ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Circ. Supply Staked,Yearly returns Estimates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
